c_id;date;percent_anxiety;percent_druguse;percent_depression;percent_alcohol
HTI;2011;4.6;0.61;3.67;1.6
HTI;2012;4.63;0.61;3.68;1.59
HTI;2013;4.66;0.61;3.68;1.59
HTI;2014;4.68;0.61;3.69;1.58
HTI;2015;4.7;0.61;3.69;1.58
HTI;2016;4.71;0.61;3.7;1.53
HTI;2017;4.71;0.62;3.7;1.49
HTI;2018;4.72;0.62;3.71;1.48
HTI;2019;4.74;0.62;3.72;1.46
HND;1990;3.96;0.48;3.1;2.31
HND;1991;3.97;0.48;3.11;2.3
HND;1992;3.98;0.49;3.11;2.29
HND;1993;3.99;0.49;3.12;2.28
HND;1994;4;0.49;3.12;2.27
HND;1995;4;0.49;3.13;2.28
HND;1996;4;0.49;3.14;2.28
HND;1997;4;0.49;3.16;2.3
HND;1998;4.01;0.49;3.17;2.31
HND;1999;4.01;0.49;3.19;2.32
HND;2000;4.01;0.49;3.2;2.33
HND;2001;4.02;0.49;3.21;2.32
HND;2002;4.02;0.49;3.23;2.31
HND;2003;4.03;0.49;3.24;2.3
HND;2004;4.03;0.49;3.25;2.29
HND;2005;4.04;0.49;3.26;2.28
HND;2006;4.05;0.49;3.26;2.3
HND;2007;4.07;0.49;3.26;2.32
HND;2008;4.09;0.49;3.27;2.36
HND;2009;4.1;0.5;3.27;2.39
HND;2010;4.12;0.5;3.27;2.41
HND;2011;4.14;0.5;3.28;2.42
HND;2012;4.16;0.5;3.28;2.43
HND;2013;4.19;0.5;3.28;2.44
HND;2014;4.22;0.51;3.29;2.44
HND;2015;4.23;0.51;3.29;2.44
HND;2016;4.24;0.51;3.3;2.35
HND;2017;4.25;0.51;3.3;2.26
HND;2018;4.26;0.51;3.3;2.27
HND;2019;4.27;0.51;3.29;2.32
HUN;1990;3.63;0.67;3.61;2.97
HUN;1991;3.64;0.67;3.6;3.05
HUN;1992;3.65;0.67;3.58;3.11
HUN;1993;3.65;0.67;3.57;3.15
HUN;1994;3.66;0.67;3.55;3.18
HUN;1995;3.66;0.67;3.52;3.19
HUN;1996;3.66;0.67;3.49;3.17
HUN;1997;3.66;0.66;3.44;3.11
HUN;1998;3.66;0.65;3.39;3.04
HUN;1999;3.66;0.64;3.34;2.97
HUN;2000;3.66;0.64;3.3;2.91
HUN;2001;3.67;0.65;3.27;2.86
HUN;2002;3.67;0.67;3.24;2.79
HUN;2003;3.68;0.69;3.22;2.73
HUN;2004;3.68;0.71;3.19;2.66
HUN;2005;3.68;0.72;3.17;2.62
HUN;2006;3.69;0.73;3.15;2.59
HUN;2007;3.7;0.74;3.13;2.55
HUN;2008;3.71;0.75;3.11;2.52
HUN;2009;3.72;0.76;3.09;2.48
HUN;2010;3.72;0.76;3.07;2.46
HUN;2011;3.72;0.76;3.06;2.43
HUN;2012;3.71;0.76;3.05;2.41
HUN;2013;3.7;0.75;3.05;2.38
HUN;2014;3.69;0.74;3.04;2.37
HUN;2015;3.69;0.74;3.04;2.36
HUN;2016;3.67;0.74;3.05;2.35
HUN;2017;3.67;0.75;3.06;2.35
HUN;2018;3.67;0.74;3.05;2.36
HUN;2019;3.67;0.72;3.04;2.38
ISL;1990;5.52;0.95;3.49;2.15
ISL;1991;5.53;0.96;3.47;2.13
ISL;1992;5.54;0.97;3.46;2.12
ISL;1993;5.55;0.97;3.44;2.11
ISL;1994;5.55;0.98;3.43;2.1
ISL;1995;5.56;0.98;3.42;2.1
ISL;1996;5.56;0.98;3.4;2.1
ISL;1997;5.56;0.98;3.39;2.1
ISL;1998;5.55;0.97;3.38;2.11
ISL;1999;5.55;0.97;3.36;2.11
ISL;2000;5.55;0.97;3.35;2.11
ISL;2001;5.55;0.98;3.33;2.12
ISL;2002;5.56;0.99;3.31;2.12
ISL;2003;5.56;1;3.29;2.12
ISL;2004;5.56;1.01;3.27;2.13
ISL;2005;5.56;1.02;3.25;2.14
ISL;2006;5.55;1.02;3.22;2.15
ISL;2007;5.54;1.03;3.19;2.17
ISL;2008;5.53;1.04;3.17;2.19
ISL;2009;5.54;1.04;3.15;2.19
ISL;2010;5.54;1.05;3.15;2.2
ISL;2011;5.56;1.06;3.15;2.2
ISL;2012;5.58;1.07;3.17;2.21
ISL;2013;5.6;1.08;3.18;2.21
ISL;2014;5.61;1.1;3.19;2.22
ISL;2015;5.62;1.11;3.2;2.23
ISL;2016;5.61;1.11;3.19;2.24
ISL;2017;5.6;1.12;3.19;2.25
ISL;2018;5.6;1.12;3.2;2.27
ISL;2019;5.6;1.11;3.22;2.31
IND;1990;3.02;0.44;4.04;1.62
IND;1991;3.01;0.44;4.18;1.62
IND;1992;2.99;0.44;4.31;1.62
IND;1993;2.97;0.44;4.41;1.62
IND;1994;2.95;0.44;4.48;1.62
IND;1995;2.93;0.45;4.51;1.62
IND;1996;2.89;0.45;4.5;1.62
IND;1997;2.82;0.44;4.48;1.62
IND;1998;2.75;0.44;4.45;1.63
IND;1999;2.7;0.44;4.42;1.63
IND;2000;2.68;0.44;4.41;1.63
IND;2001;2.68;0.44;4.43;1.64
IND;2002;2.69;0.44;4.47;1.65
IND;2003;2.71;0.44;4.52;1.65
IND;2004;2.72;0.44;4.56;1.66
IND;2005;2.74;0.44;4.57;1.65
IND;2006;2.78;0.44;4.49;1.62
IND;2007;2.84;0.45;4.31;1.55
IND;2008;2.92;0.45;4.09;1.47
IND;2009;2.99;0.46;3.9;1.39
IND;2010;3.03;0.46;3.81;1.34
IND;2011;3.05;0.46;3.81;1.31
IND;2012;3.07;0.46;3.8;1.29
IND;2013;3.09;0.46;3.8;1.27
IND;2014;3.1;0.46;3.81;1.26
IND;2015;3.11;0.46;3.81;1.25
IND;2016;3.12;0.49;3.8;1.25
IND;2017;3.12;0.52;3.8;1.25
IND;2018;3.1;0.52;3.78;1.23
IND;2019;3.04;0.52;3.75;1.18
IDN;1990;3.46;0.43;2.48;0.47
IDN;1991;3.47;0.43;2.47;0.47
IDN;1992;3.48;0.43;2.46;0.47
IDN;1993;3.49;0.43;2.46;0.46
IDN;1994;3.5;0.43;2.45;0.46
IDN;1995;3.5;0.43;2.45;0.46
IDN;1996;3.51;0.43;2.45;0.46
IDN;1997;3.51;0.44;2.45;0.47
IDN;1998;3.52;0.44;2.46;0.47
IDN;1999;3.53;0.44;2.46;0.47
IDN;2000;3.53;0.44;2.46;0.47
IDN;2001;3.54;0.44;2.47;0.47
IDN;2002;3.54;0.44;2.47;0.47
IDN;2003;3.55;0.45;2.48;0.47
IDN;2004;3.56;0.45;2.48;0.47
IDN;2005;3.56;0.45;2.48;0.47
IDN;2006;3.57;0.45;2.48;0.48
IDN;2007;3.57;0.45;2.47;0.48
IDN;2008;3.58;0.45;2.46;0.49
IDN;2009;3.59;0.45;2.45;0.49
IDN;2010;3.6;0.45;2.44;0.5
IDN;2011;3.61;0.45;2.45;0.5
IDN;2012;3.62;0.45;2.45;0.5
IDN;2013;3.64;0.44;2.46;0.49
IDN;2014;3.65;0.44;2.47;0.49
IDN;2015;3.66;0.44;2.48;0.49
IDN;2016;3.67;0.46;2.47;0.49
IDN;2017;3.68;0.48;2.47;0.49
IDN;2018;3.69;0.48;2.48;0.5
IDN;2019;3.7;0.48;2.52;0.51
IRN;1990;7.37;0.58;4.88;0.39
IRN;1991;7.36;0.58;4.84;0.39
IRN;1992;7.36;0.59;4.8;0.4
IRN;1993;7.35;0.6;4.76;0.4
IRN;1994;7.35;0.6;4.73;0.4
IRN;1995;7.35;0.61;4.71;0.4
IRN;1996;7.35;0.63;4.7;0.4
IRN;1997;7.35;0.65;4.69;0.4
IRN;1998;7.35;0.67;4.67;0.4
IRN;1999;7.35;0.69;4.66;0.39
IRN;2000;7.35;0.7;4.66;0.39
IRN;2001;7.36;0.71;4.66;0.39
IRN;2002;7.36;0.72;4.68;0.39
IRN;2003;7.37;0.73;4.7;0.39
IRN;2004;7.38;0.74;4.72;0.38
IRN;2005;7.4;0.75;4.75;0.38
IRN;2006;7.44;0.75;4.79;0.38
IRN;2007;7.53;0.76;4.86;0.37
IRN;2008;7.63;0.76;4.94;0.35
IRN;2009;7.72;0.77;5.01;0.34
IRN;2010;7.76;0.77;5.05;0.34
IRN;2011;7.78;0.77;5.09;0.33
IRN;2012;7.79;0.77;5.13;0.33
IRN;2013;7.81;0.76;5.18;0.32
IRN;2014;7.83;0.76;5.22;0.32
IRN;2015;7.84;0.75;5.23;0.32
IRN;2016;7.71;0.75;5.24;0.32
IRN;2017;7.58;0.76;5.23;0.32
IRN;2018;7.58;0.76;5.18;0.32
IRN;2019;7.62;0.77;5.1;0.32
IRQ;1990;5.25;0.39;4.08;0.45
IRQ;1991;5.24;0.4;4.09;0.45
IRQ;1992;5.24;0.4;4.09;0.45
IRQ;1993;5.24;0.41;4.08;0.45
IRQ;1994;5.24;0.41;4.08;0.45
IRQ;1995;5.24;0.41;4.08;0.45
IRQ;1996;5.25;0.41;4.04;0.45
IRQ;1997;5.25;0.42;3.93;0.45
IRQ;1998;5.26;0.42;3.81;0.45
IRQ;1999;5.26;0.43;3.7;0.45
IRQ;2000;5.27;0.43;3.65;0.45
IRQ;2001;5.26;0.42;3.65;0.45
IRQ;2002;5.23;0.42;3.66;0.45
IRQ;2003;5.19;0.42;3.66;0.44
IRQ;2004;5.17;0.42;3.66;0.44
IRQ;2005;5.17;0.41;3.66;0.44
IRQ;2006;5.19;0.41;3.67;0.44
IRQ;2007;5.21;0.4;3.66;0.44
IRQ;2008;5.24;0.4;3.66;0.43
IRQ;2009;5.26;0.4;3.66;0.43
IRQ;2010;5.28;0.39;3.66;0.43
IRQ;2011;5.33;0.39;3.71;0.43
IRQ;2012;5.41;0.39;3.82;0.42
IRQ;2013;5.51;0.39;3.96;0.42
IRQ;2014;5.59;0.39;4.08;0.41
IRQ;2015;5.63;0.38;4.14;0.41
IRQ;2016;5.61;0.37;4.14;0.41
IRQ;2017;5.59;0.37;4.14;0.41
IRQ;2018;5.59;0.37;4.14;0.42
IRQ;2019;5.6;0.37;4.13;0.42
IRL;1990;7.07;1.19;4.41;2.97
IRL;1991;7.09;1.2;4.43;3.02
IRL;1992;7.11;1.21;4.45;3.08
IRL;1993;7.12;1.22;4.47;3.13
IRL;1994;7.12;1.23;4.48;3.17
IRL;1995;7.12;1.23;4.49;3.21
IRL;1996;7.09;1.24;4.51;3.24
IRL;1997;7.02;1.24;4.54;3.28
IRL;1998;6.93;1.24;4.58;3.32
IRL;1999;6.85;1.25;4.61;3.35
IRL;2000;6.82;1.27;4.62;3.37
IRL;2001;6.81;1.3;4.63;3.39
IRL;2002;6.81;1.36;4.64;3.41
IRL;2003;6.81;1.41;4.64;3.44
IRL;2004;6.81;1.46;4.64;3.46
IRL;2005;6.82;1.48;4.64;3.48
IRL;2006;6.93;1.47;4.64;3.52
IRL;2007;7.16;1.44;4.63;3.57
IRL;2008;7.45;1.41;4.63;3.62
IRL;2009;7.7;1.39;4.62;3.66
IRL;2010;7.82;1.38;4.61;3.67
IRL;2011;7.85;1.38;4.58;3.66
IRL;2012;7.88;1.38;4.53;3.64
IRL;2013;7.9;1.38;4.48;3.61
IRL;2014;7.92;1.38;4.44;3.59
IRL;2015;7.93;1.39;4.42;3.58
IRL;2016;7.92;1.39;4.55;3.58
IRL;2017;7.9;1.4;4.68;3.58
IRL;2018;7.8;1.39;4.68;3.57
IRL;2019;7.62;1.35;4.65;3.54
ISR;1990;3.97;0.74;4.7;1.03
ISR;1991;3.99;0.75;4.8;1.04
ISR;1992;4;0.75;4.9;1.04
ISR;1993;4;0.75;4.98;1.04
ISR;1994;4;0.76;5.04;1.04
ISR;1995;4;0.76;5.07;1.04
ISR;1996;3.93;0.76;5.08;1.03
ISR;1997;3.78;0.76;5.09;1.02
ISR;1998;3.6;0.76;5.09;1
ISR;1999;3.45;0.76;5.09;0.98
ISR;2000;3.39;0.76;5.09;0.97
ISR;2001;3.38;0.77;5.08;0.97
ISR;2002;3.38;0.77;5.05;0.97
ISR;2003;3.38;0.78;5.02;0.97
ISR;2004;3.38;0.78;4.99;0.97
ISR;2005;3.39;0.78;4.96;0.97
ISR;2006;3.47;0.79;4.95;0.97
ISR;2007;3.65;0.81;4.93;0.96
ISR;2008;3.87;0.82;4.9;0.95
ISR;2009;4.06;0.84;4.88;0.94
ISR;2010;4.14;0.84;4.85;0.94
ISR;2011;4.13;0.85;4.8;0.93
ISR;2012;4.12;0.85;4.7;0.92
ISR;2013;4.11;0.85;4.6;0.91
ISR;2014;4.09;0.86;4.51;0.91
ISR;2015;4.08;0.86;4.47;0.9
ISR;2016;4.06;0.87;4.45;0.9
ISR;2017;4.05;0.89;4.45;0.91
ISR;2018;4.05;0.88;4.45;0.92
ISR;2019;4.05;0.86;4.47;0.95
ITA;1990;6.34;1.34;3.98;1.62
ITA;1991;6.15;1.39;4.05;1.61
ITA;1992;5.98;1.42;4.11;1.59
ITA;1993;5.83;1.45;4.16;1.58
ITA;1994;5.71;1.46;4.19;1.58
ITA;1995;5.61;1.46;4.2;1.58
ITA;1996;5.53;1.43;4.2;1.58
ITA;1997;5.46;1.39;4.19;1.58
ITA;1998;5.39;1.35;4.18;1.59
ITA;1999;5.34;1.32;4.17;1.6
ITA;2000;5.32;1.3;4.16;1.6
ITA;2001;5.33;1.31;4.14;1.6
ITA;2002;5.34;1.32;4.11;1.6
ITA;2003;5.35;1.34;4.08;1.61
ITA;2004;5.36;1.36;4.04;1.61
ITA;2005;5.37;1.36;4.01;1.61
ITA;2006;5.42;1.36;3.97;1.61
ITA;2007;5.55;1.35;3.9;1.61
ITA;2008;5.71;1.34;3.83;1.61
ITA;2009;5.85;1.33;3.77;1.62
ITA;2010;5.92;1.32;3.75;1.61
ITA;2011;5.96;1.29;3.76;1.6
ITA;2012;5.99;1.24;3.77;1.59
ITA;2013;6.02;1.18;3.78;1.56
ITA;2014;6.04;1.13;3.8;1.54
ITA;2015;6.05;1.1;3.8;1.53
ITA;2016;6.02;1.08;3.79;1.53
ITA;2017;5.98;1.07;3.78;1.53
ITA;2018;5.98;1.05;3.79;1.56
ITA;2019;5.98;1.01;3.83;1.61
JAM;1990;4.06;0.97;3.14;1.13
JAM;1991;4.06;0.99;3.1;1.11
JAM;1992;4.06;1.02;3.07;1.1
JAM;1993;4.06;1.04;3.05;1.09
JAM;1994;4.06;1.05;3.03;1.08
JAM;1995;4.06;1.05;3.02;1.08
JAM;1996;4.06;1.05;3.03;1.08
JAM;1997;4.06;1.06;3.03;1.09
JAM;1998;4.06;1.06;3.04;1.11
JAM;1999;4.07;1.05;3.05;1.12
JAM;2000;4.07;1.06;3.05;1.13
JAM;2001;4.07;1.06;3.05;1.12
JAM;2002;4.07;1.06;3.06;1.12
JAM;2003;4.07;1.06;3.07;1.11
JAM;2004;4.08;1.07;3.07;1.1
JAM;2005;4.08;1.07;3.07;1.1
JAM;2006;4.09;1.07;3.06;1.11
JAM;2007;4.11;1.07;3.04;1.12
JAM;2008;4.13;1.07;3.02;1.14
JAM;2009;4.16;1.07;3;1.15
JAM;2010;4.17;1.07;3;1.16
JAM;2011;4.19;1.06;3;1.16
JAM;2012;4.2;1.06;3.03;1.15
JAM;2013;4.22;1.05;3.05;1.14
JAM;2014;4.24;1.04;3.07;1.14
JAM;2015;4.25;1.04;3.09;1.13
JAM;2016;4.24;1.04;3.09;1.1
JAM;2017;4.23;1.04;3.09;1.08
JAM;2018;4.23;1.05;3.13;1.08
JAM;2019;4.24;1.05;3.2;1.1
JPN;1990;2.87;0.81;2.21;0.65
JPN;1991;2.87;0.81;2.17;0.65
JPN;1992;2.87;0.81;2.14;0.64
JPN;1993;2.87;0.81;2.12;0.64
JPN;1994;2.87;0.81;2.11;0.64
JPN;1995;2.87;0.81;2.1;0.64
JPN;1996;2.87;0.81;2.12;0.63
JPN;1997;2.86;0.82;2.18;0.63
JPN;1998;2.86;0.82;2.24;0.63
JPN;1999;2.86;0.82;2.3;0.62
JPN;2000;2.86;0.82;2.34;0.62
JPN;2001;2.86;0.83;2.37;0.62
JPN;2002;2.86;0.83;2.39;0.61
JPN;2003;2.86;0.83;2.42;0.61
JPN;2004;2.87;0.83;2.44;0.61
JPN;2005;2.87;0.84;2.45;0.61
JPN;2006;2.85;0.84;2.44;0.61
JPN;2007;2.81;0.84;2.41;0.61
JPN;2008;2.76;0.84;2.38;0.61
JPN;2009;2.71;0.85;2.35;0.6
JPN;2010;2.67;0.85;2.34;0.61
JPN;2011;2.65;0.85;2.33;0.61
JPN;2012;2.62;0.85;2.32;0.61
JPN;2013;2.59;0.85;2.31;0.62
JPN;2014;2.57;0.85;2.3;0.63
JPN;2015;2.56;0.85;2.3;0.63
JPN;2016;2.55;0.85;2.3;0.63
JPN;2017;2.54;0.86;2.3;0.63
JPN;2018;2.54;0.86;2.3;0.64
JPN;2019;2.54;0.85;2.3;0.65
JOR;1990;5.04;0.38;4.79;0.44
JOR;1991;5.04;0.38;4.79;0.44
JOR;1992;5.05;0.38;4.79;0.44
JOR;1993;5.05;0.38;4.79;0.44
JOR;1994;5.06;0.38;4.78;0.43
JOR;1995;5.06;0.38;4.78;0.43
JOR;1996;5.07;0.38;4.78;0.43
JOR;1997;5.07;0.38;4.77;0.43
JOR;1998;5.08;0.38;4.76;0.43
JOR;1999;5.09;0.37;4.75;0.43
JOR;2000;5.09;0.37;4.74;0.43
JOR;2001;5.1;0.37;4.73;0.43
JOR;2002;5.1;0.37;4.72;0.43
JOR;2003;5.1;0.38;4.7;0.43
JOR;2004;5.1;0.38;4.68;0.43
JOR;2005;5.1;0.38;4.65;0.43
JOR;2006;5.1;0.38;4.6;0.43
JOR;2007;5.11;0.39;4.54;0.43
JOR;2008;5.12;0.4;4.47;0.43
JOR;2009;5.13;0.4;4.41;0.43
JOR;2010;5.14;0.41;4.38;0.43
JOR;2011;5.16;0.41;4.37;0.43
JOR;2012;5.17;0.42;4.36;0.43
JOR;2013;5.19;0.42;4.35;0.42
JOR;2014;5.21;0.43;4.34;0.42
JOR;2015;5.22;0.43;4.34;0.42
JOR;2016;5.21;0.44;4.31;0.42
JOR;2017;5.2;0.45;4.3;0.42
JOR;2018;5.21;0.45;4.33;0.42
JOR;2019;5.23;0.45;4.4;0.43
KAZ;1990;2.23;0.65;3.67;3.13
KAZ;1991;2.23;0.67;3.66;2.96
KAZ;1992;2.23;0.69;3.65;2.83
KAZ;1993;2.23;0.7;3.64;2.75
KAZ;1994;2.23;0.72;3.64;2.7
KAZ;1995;2.23;0.74;3.65;2.69
KAZ;1996;2.23;0.75;3.66;2.75
KAZ;1997;2.24;0.78;3.68;2.9
KAZ;1998;2.24;0.8;3.71;3.09
KAZ;1999;2.25;0.81;3.73;3.28
KAZ;2000;2.25;0.82;3.74;3.41
KAZ;2001;2.25;0.83;3.75;3.49
KAZ;2002;2.25;0.84;3.74;3.57
KAZ;2003;2.25;0.84;3.74;3.64
KAZ;2004;2.25;0.85;3.73;3.7
KAZ;2005;2.25;0.85;3.73;3.76
KAZ;2006;2.25;0.85;3.71;3.84
KAZ;2007;2.25;0.86;3.7;3.93
KAZ;2008;2.25;0.86;3.68;4.03
KAZ;2009;2.24;0.86;3.66;4.1
KAZ;2010;2.25;0.86;3.65;4.13
KAZ;2011;2.25;0.85;3.65;4.08
KAZ;2012;2.25;0.84;3.66;3.96
KAZ;2013;2.25;0.83;3.67;3.81
KAZ;2014;2.25;0.82;3.68;3.68
KAZ;2015;2.25;0.81;3.69;3.62
KAZ;2016;2.25;0.81;3.69;3.66
KAZ;2017;2.25;0.81;3.69;3.72
KAZ;2018;2.25;0.81;3.69;3.74
KAZ;2019;2.26;0.81;3.67;3.75
KEN;1990;3.43;0.27;5.09;0.73
KEN;1991;3.43;0.27;5.08;0.74
KEN;1992;3.43;0.27;5.07;0.74
KEN;1993;3.43;0.27;5.07;0.74
KEN;1994;3.43;0.27;5.08;0.74
KEN;1995;3.43;0.27;5.08;0.74
KEN;1996;3.43;0.27;5.1;0.74
KEN;1997;3.43;0.27;5.15;0.75
KEN;1998;3.43;0.27;5.2;0.75
KEN;1999;3.43;0.27;5.25;0.75
KEN;2000;3.43;0.27;5.26;0.75
KEN;2001;3.44;0.27;5.26;0.75
KEN;2002;3.44;0.27;5.25;0.76
KEN;2003;3.44;0.28;5.23;0.76
KEN;2004;3.44;0.28;5.2;0.76
KEN;2005;3.44;0.28;5.18;0.76
KEN;2006;3.45;0.28;5.15;0.76
KEN;2007;3.45;0.3;5.11;0.76
KEN;2008;3.46;0.31;5.07;0.75
KEN;2009;3.47;0.32;5.02;0.74
KEN;2010;3.47;0.33;4.99;0.74
KEN;2011;3.48;0.33;4.96;0.73
KEN;2012;3.48;0.33;4.93;0.73
KEN;2013;3.5;0.32;4.9;0.73
KEN;2014;3.5;0.32;4.88;0.73
KEN;2015;3.51;0.32;4.86;0.72
KEN;2016;3.52;0.33;4.85;0.72
KEN;2017;3.53;0.33;4.85;0.72
KEN;2018;3.53;0.33;4.85;0.73
KEN;2019;3.52;0.33;4.86;0.74
KIR;1990;4.06;0.65;3.2;0.61
KIR;1991;4.07;0.65;3.2;0.61
KIR;1992;4.08;0.65;3.19;0.61
KIR;1993;4.08;0.65;3.19;0.61
KIR;1994;4.09;0.65;3.18;0.61
KIR;1995;4.09;0.65;3.17;0.61
KIR;1996;4.1;0.65;3.17;0.61
KIR;1997;4.11;0.66;3.15;0.6
KIR;1998;4.11;0.67;3.14;0.6
KIR;1999;4.12;0.68;3.12;0.6
KIR;2000;4.12;0.68;3.11;0.6
KIR;2001;4.12;0.68;3.11;0.6
KIR;2002;4.12;0.68;3.1;0.6
KIR;2003;4.11;0.68;3.1;0.6
KIR;2004;4.11;0.68;3.09;0.6
KIR;2005;4.11;0.68;3.09;0.6
KIR;2006;4.11;0.68;3.08;0.59
KIR;2007;4.12;0.68;3.07;0.59
KIR;2008;4.13;0.68;3.07;0.59
KIR;2009;4.14;0.68;3.06;0.59
KIR;2010;4.15;0.68;3.06;0.59
KIR;2011;4.16;0.68;3.05;0.59
KIR;2012;4.17;0.68;3.05;0.59
KIR;2013;4.18;0.68;3.05;0.58
KIR;2014;4.19;0.68;3.05;0.58
KIR;2015;4.2;0.68;3.05;0.58
KIR;2016;4.2;0.68;3.05;0.58
KIR;2017;4.19;0.68;3.05;0.58
KIR;2018;4.2;0.68;3.05;0.59
KIR;2019;4.22;0.68;3.06;0.59
KWT;1990;4.52;0.4;4.17;0.42
KWT;1991;4.52;0.39;4.16;0.42
KWT;1992;4.52;0.39;4.16;0.42
KWT;1993;4.52;0.39;4.17;0.42
KWT;1994;4.52;0.38;4.17;0.42
KWT;1995;4.51;0.38;4.17;0.43
KWT;1996;4.51;0.39;4.17;0.43
KWT;1997;4.5;0.4;4.19;0.43
KWT;1998;4.51;0.4;4.21;0.43
KWT;1999;4.51;0.41;4.22;0.44
KWT;2000;4.51;0.42;4.23;0.44
KWT;2001;4.52;0.42;4.24;0.44
KWT;2002;4.52;0.42;4.25;0.44
KWT;2003;4.53;0.42;4.25;0.44
KWT;2004;4.54;0.42;4.26;0.44
KWT;2005;4.55;0.42;4.26;0.44
KWT;2006;4.56;0.43;4.26;0.44
KWT;2007;4.58;0.43;4.25;0.44
KWT;2008;4.6;0.44;4.24;0.44
KWT;2009;4.63;0.44;4.22;0.44
KWT;2010;4.65;0.45;4.22;0.43
KWT;2011;4.68;0.45;4.23;0.43
KWT;2012;4.73;0.45;4.24;0.43
KWT;2013;4.78;0.45;4.26;0.42
KWT;2014;4.82;0.45;4.27;0.41
KWT;2015;4.85;0.46;4.28;0.41
KWT;2016;4.86;0.47;4.28;0.41
KWT;2017;4.86;0.48;4.28;0.41
KWT;2018;4.89;0.48;4.31;0.41
KWT;2019;4.92;0.48;4.35;0.41
KGZ;1990;2.15;0.51;3.82;3.72
KGZ;1991;2.15;0.52;3.81;3.76
KGZ;1992;2.15;0.52;3.8;3.79
KGZ;1993;2.15;0.53;3.8;3.82
KGZ;1994;2.15;0.53;3.79;3.85
KGZ;1995;2.15;0.54;3.79;3.87
KGZ;1996;2.15;0.54;3.78;3.9
KGZ;1997;2.15;0.55;3.77;3.95
KGZ;1998;2.15;0.56;3.76;4
KGZ;1999;2.16;0.56;3.76;4.04
KGZ;2000;2.16;0.57;3.75;4.05
KGZ;2001;2.16;0.57;3.75;4.01
KGZ;2002;2.16;0.58;3.73;3.93
KGZ;2003;2.16;0.58;3.72;3.82
KGZ;2004;2.16;0.58;3.71;3.73
KGZ;2005;2.16;0.58;3.7;3.66
KGZ;2006;2.16;0.58;3.68;3.61
KGZ;2007;2.16;0.58;3.66;3.55
KGZ;2008;2.16;0.58;3.64;3.5
KGZ;2009;2.16;0.58;3.62;3.45
KGZ;2010;2.16;0.58;3.61;3.4
KGZ;2011;2.17;0.58;3.6;3.33
KGZ;2012;2.17;0.57;3.6;3.22
KGZ;2013;2.17;0.57;3.6;3.11
KGZ;2014;2.18;0.56;3.6;3.01
KGZ;2015;2.18;0.56;3.6;2.96
KGZ;2016;2.18;0.55;3.59;3
KGZ;2017;2.18;0.55;3.59;3.07
KGZ;2018;2.18;0.55;3.59;3.11
KGZ;2019;2.18;0.55;3.58;3.16
LAO;1990;4.33;0.46;3.01;0.9
LAO;1991;4.34;0.46;3.02;0.91
LAO;1992;4.35;0.46;3.02;0.91
LAO;1993;4.35;0.46;3.02;0.92
LAO;1994;4.36;0.46;3.02;0.92
LAO;1995;4.36;0.46;3.02;0.93
LAO;1996;4.36;0.46;3;0.93
LAO;1997;4.36;0.47;2.97;0.92
LAO;1998;4.36;0.47;2.93;0.92
LAO;1999;4.37;0.48;2.9;0.92
LAO;2000;4.37;0.48;2.88;0.92
LAO;2001;4.37;0.48;2.87;0.91
LAO;2002;4.37;0.48;2.87;0.91
LAO;2003;4.37;0.48;2.86;0.9
LAO;2004;4.37;0.48;2.86;0.89
LAO;2005;4.37;0.48;2.86;0.89
LAO;2006;4.38;0.48;2.84;0.88
LAO;2007;4.41;0.48;2.81;0.88
LAO;2008;4.44;0.48;2.79;0.87
LAO;2009;4.47;0.48;2.77;0.87
LAO;2010;4.49;0.48;2.76;0.87
LAO;2011;4.52;0.48;2.77;0.86
LAO;2012;4.55;0.47;2.79;0.86
LAO;2013;4.59;0.47;2.81;0.86
LAO;2014;4.62;0.47;2.83;0.86
LAO;2015;4.64;0.47;2.84;0.86
LAO;2016;4.67;0.48;2.84;0.86
LAO;2017;4.69;0.48;2.84;0.86
LAO;2018;4.71;0.48;2.85;0.86
LAO;2019;4.75;0.48;2.85;0.87
LVA;1990;4.02;1.33;4.66;2.49
LVA;1991;4.02;1.36;4.64;2.52
LVA;1992;4.02;1.39;4.62;2.55
LVA;1993;4.02;1.41;4.61;2.57
LVA;1994;4.02;1.43;4.59;2.59
LVA;1995;4.02;1.44;4.57;2.6
LVA;1996;4.02;1.45;4.55;2.61
LVA;1997;4.02;1.45;4.52;2.62
LVA;1998;4.02;1.45;4.49;2.63
LVA;1999;4.02;1.45;4.46;2.63
LVA;2000;4.02;1.45;4.44;2.62
LVA;2001;4.03;1.45;4.41;2.59
LVA;2002;4.03;1.47;4.37;2.52
LVA;2003;4.03;1.48;4.33;2.45
LVA;2004;4.03;1.49;4.29;2.39
LVA;2005;4.03;1.49;4.25;2.35
LVA;2006;4.03;1.46;4.21;2.34
LVA;2007;4.04;1.42;4.16;2.33
LVA;2008;4.05;1.36;4.11;2.32
LVA;2009;4.06;1.31;4.07;2.31
LVA;2010;4.07;1.28;4.05;2.31
LVA;2011;4.07;1.27;4.04;2.31
LVA;2012;4.07;1.26;4.03;2.34
LVA;2013;4.08;1.26;4.03;2.37
LVA;2014;4.08;1.25;4.02;2.39
LVA;2015;4.08;1.25;4.02;2.4
LVA;2016;4.07;1.26;4.02;2.37
LVA;2017;4.06;1.27;4.02;2.32
